ano,inscricao_enem,nota_ch,nota_cn,nota_l,nota_m,nota_r,sigla_uf_campus
2022,211XXXXXX841,462.0,409.4,381.6,386.2,320.0,DF
2022,211XXXXXX405,409.2,521.9,559.3,438.9,280.0,DF
2022,211XXXXXX187,522.9,496.8,516.9,556.5,320.0,DF
2022,211XXXXXX187,522.9,496.8,516.9,556.5,320.0,DF
2022,211XXXXXX329,407.8,477.0,453.0,411.9,320.0,DF
2022,215XXXXXX197,425.9,355.2,364.2,430.8,300.0,DF
2022,215XXXXXX197,425.9,355.2,364.2,430.8,300.0,DF
2022,211XXXXXX759,363.4,442.9,494.1,420.1,340.0,DF
2022,211XXXXXX329,407.8,477.0,453.0,411.9,320.0,DF
2022,211XXXXXX743,596.0,538.2,503.1,523.8,340.0,DF
2022,211XXXXXX609,416.0,394.8,428.2,419.5,300.0,DF
2022,211XXXXXX850,509.9,385.6,385.6,494.2,280.0,DF
2022,211XXXXXX743,596.0,538.2,503.1,523.8,340.0,DF
2022,211XXXXXX609,416.0,394.8,428.2,419.5,300.0,DF
2022,211XXXXXX850,509.9,385.6,385.6,494.2,280.0,DF
2022,211XXXXXX363,487.6,430.0,394.1,455.4,300.0,DF
2022,211XXXXXX978,414.1,406.5,450.0,442.9,340.0,DF
2022,211XXXXXX808,660.2,601.6,552.1,663.8,340.0,DF
2022,211XXXXXX978,414.1,406.5,450.0,442.9,340.0,DF
2022,215XXXXXX214,628.5,531.8,600.7,438.4,280.0,DF
2022,211XXXXXX813,487.9,521.6,517.6,452.2,260.0,DF
2022,211XXXXXX808,660.2,601.6,552.1,663.8,340.0,DF
2022,215XXXXXX603,636.2,471.1,582.0,649.1,340.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX793,478.2,391.9,387.4,416.1,340.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX793,478.2,391.9,387.4,416.1,340.0,DF
2022,211XXXXXX887,442.9,431.2,482.1,508.0,320.0,DF
2022,211XXXXXX527,398.6,460.9,474.6,506.3,280.0,DF
2022,211XXXXXX885,533.9,481.8,477.4,531.6,320.0,DF
2022,211XXXXXX911,370.9,491.9,444.5,496.1,280.0,DF
2022,215XXXXXX680,461.7,466.0,400.1,346.4,320.0,DF
2022,211XXXXXX527,377.8,385.1,384.2,461.4,320.0,DF
2022,215XXXXXX643,376.2,426.4,417.5,397.4,240.0,DF
2022,211XXXXXX560,539.9,471.6,520.3,570.1,340.0,DF
2022,211XXXXXX560,539.9,471.6,520.3,570.1,340.0,DF
2022,215XXXXXX643,376.2,426.4,417.5,397.4,240.0,DF
2022,215XXXXXX216,405.0,484.5,530.5,468.9,340.0,DF
2022,211XXXXXX059,428.9,359.9,454.5,412.3,320.0,DF
2022,211XXXXXX916,520.0,413.8,514.0,416.1,320.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX916,520.0,413.8,514.0,416.1,320.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX277,378.3,363.6,360.1,378.7,280.0,DF
2022,211XXXXXX379,414.2,417.8,399.5,401.4,280.0,DF
2022,211XXXXXX379,414.2,417.8,399.5,401.4,280.0,DF
2022,211XXXXXX585,457.8,390.8,458.4,443.5,340.0,DF
2022,211XXXXXX052,633.1,589.8,559.3,504.5,300.0,DF
2022,211XXXXXX948,439.4,418.9,351.6,508.5,340.0,DF
2022,211XXXXXX916,520.0,413.8,514.0,416.1,320.0,DF
2022,211XXXXXX677,459.7,442.2,426.3,446.3,340.0,DF
2022,211XXXXXX277,378.3,363.6,360.1,378.7,280.0,DF
2022,211XXXXXX603,418.1,409.0,432.8,400.4,320.0,DF
2022,215XXXXXX586,585.4,611.2,558.5,617.4,320.0,DF
2022,215XXXXXX434,591.8,578.9,567.8,509.8,320.0,DF
2022,211XXXXXX422,444.2,411.0,354.3,465.4,340.0,DF
2022,211XXXXXX422,444.2,411.0,354.3,465.4,340.0,DF
2022,215XXXXXX434,591.8,578.9,567.8,509.8,320.0,DF
2022,211XXXXXX570,374.3,355.2,451.7,394.3,300.0,DF
2022,211XXXXXX229,465.4,416.0,472.6,586.8,340.0,DF
2022,211XXXXXX230,401.8,384.5,376.8,401.2,240.0,DF
2022,211XXXXXX570,374.3,355.2,451.7,394.3,300.0,DF
2022,211XXXXXX036,379.6,420.2,323.6,381.6,240.0,DF
2022,215XXXXXX888,418.4,541.7,460.0,401.1,320.0,DF
2022,211XXXXXX056,545.4,466.4,461.0,423.4,340.0,DF
2022,215XXXXXX888,418.4,541.7,460.0,401.1,320.0,DF
2022,211XXXXXX570,374.3,355.2,451.7,394.3,300.0,DF
2022,211XXXXXX036,379.6,420.2,323.6,381.6,240.0,DF
2022,211XXXXXX068,538.3,471.7,530.8,429.2,340.0,DF
2022,211XXXXXX793,442.8,433.6,430.6,421.7,340.0,DF
2022,211XXXXXX629,350.8,437.5,343.5,507.6,320.0,DF
2022,211XXXXXX911,370.9,491.9,444.5,496.1,280.0,DF
2022,211XXXXXX628,437.3,444.4,422.2,455.2,320.0,DF
2022,202XXXXXX633,335.7,425.5,336.2,405.4,320.0,DF
2022,211XXXXXX911,370.9,491.9,444.5,496.1,280.0,DF
2022,211XXXXXX538,579.6,519.7,567.0,696.4,980.0,DF
2022,211XXXXXX056,545.4,466.4,461.0,423.4,340.0,DF
2022,211XXXXXX175,519.8,438.2,459.8,463.7,340.0,DF
2022,211XXXXXX883,488.7,444.7,467.6,397.0,340.0,DF
2022,211XXXXXX525,564.9,467.6,426.3,515.3,280.0,DF
2022,211XXXXXX056,545.4,466.4,461.0,423.4,340.0,DF
2022,211XXXXXX527,398.6,460.9,474.6,506.3,280.0,DF
